Date,Channel,CampaignType,CampaignName,Cost,Impressions,Clicks,Conversions,Revenue
2025-07-12,Google Ads,Search,GG_Search_Brand,109.56,2275,91,5,380.81
2025-07-12,Google Ads,Search,GG_Search_Generic,309.76,6450,258,7,568.29
2025-07-12,Google Ads,PMax,GG_PMax_Performance,669.38,27900,558,27,2198.56
2025-07-12,Google Ads,Shopping,GG_Shopping_Top_Products,434.71,24133,362,20,1605.9
2025-07-12,Meta Ads,Prospecting,FB_Prospecting_Broad,492.88,41067,616,16,1273.29
2025-07-12,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,312.89,26067,391,11,882.88
2025-07-12,Meta Ads,Retargeting,FB_Retargeting_Catalog,167.33,13933,209,11,863.55
2025-07-12,Microsoft Ads,Search,MS_Search_Brand,34.43,1425,57,2,129.48
2025-07-12,Microsoft Ads,Shopping,MS_Shopping_Feed,82.97,9200,138,2,193.16
2025-07-13,Google Ads,Search,GG_Search_Brand,146.35,3050,122,8,622.24
2025-07-13,Google Ads,Search,GG_Search_Generic,403.15,8400,336,11,882.85
2025-07-13,Google Ads,PMax,GG_PMax_Performance,685.65,28550,571,27,2156.83
2025-07-13,Google Ads,Shopping,GG_Shopping_Top_Products,435.75,24200,363,19,1511.31
2025-07-13,Meta Ads,Prospecting,FB_Prospecting_Broad,464.39,38667,580,13,1063.65
2025-07-13,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,383.74,32000,480,15,1224.05
2025-07-13,Meta Ads,Retargeting,FB_Retargeting_Catalog,169.86,14133,212,10,832.64
2025-07-13,Microsoft Ads,Search,MS_Search_Brand,46.14,1925,77,3,213.09
2025-07-13,Microsoft Ads,Shopping,MS_Shopping_Feed,96.65,10733,161,3,242.51
2025-07-14,Google Ads,Search,GG_Search_Brand,134.15,2800,112,6,517.17
2025-07-14,Google Ads,Search,GG_Search_Generic,416.34,8675,347,12,922.06
2025-07-14,Google Ads,PMax,GG_PMax_Performance,648.99,27050,541,24,1905.79
2025-07-14,Google Ads,Shopping,GG_Shopping_Top_Products,454.11,25200,378,20,1606.5
2025-07-14,Meta Ads,Prospecting,FB_Prospecting_Broad,636.1,53000,795,24,1910.05
2025-07-14,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,431.66,36000,540,19,1505.46
2025-07-14,Meta Ads,Retargeting,FB_Retargeting_Catalog,205.68,17133,257,15,1179.97
2025-07-14,Microsoft Ads,Search,MS_Search_Brand,51.85,2150,86,3,261.56
2025-07-14,Microsoft Ads,Shopping,MS_Shopping_Feed,97.31,10800,162,3,241.27
2025-07-15,Google Ads,Search,GG_Search_Brand,126.24,2625,105,6,464.27
2025-07-15,Google Ads,Search,GG_Search_Generic,360.81,7525,301,9,707.21
2025-07-15,Google Ads,PMax,GG_PMax_Performance,790.65,32950,659,35,2808.46
2025-07-15,Google Ads,Shopping,GG_Shopping_Top_Products,490.95,27267,409,24,1882.16
2025-07-15,Meta Ads,Prospecting,FB_Prospecting_Broad,633.7,52800,792,24,1913.2
2025-07-15,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,344.09,28667,430,12,983.83
